Event	Sub-task	Train Data (size, pos., neg.)	Dev Data (size, pos., neg.)	Test Data (size, pos., neg.)	model name	accuracy	CM	pos. F1	SQuAD_total	SQuAD_EM	SQuAD_F1	SQuAD_Pos. EM_F1_total	SQuAD_Pos. EM	SQuAD_Pos. F1	dev_threshold	dev_N	dev_F1	dev_P	dev_R	dev_TP	dev_FP	dev_FN	N	F1	P	R	TP	FP	FN
positive	age	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9977547495682211	[[5768, 7], [6, 9]]	0.5806451612903225	601.0	98.16971713810317	98.52626574756357	16.0	56.25	69.64285714285714	0.2	16.0	0.75	0.75	0.75	12.0	4.0	4.0	15.0	0.606060606060606	0.5555555555555556	0.6666666666666666	10.0	8.0	5.0
positive	close_contact	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9934369602763385	[[5740, 11], [27, 12]]	0.3870967741935484	601.0	95.17470881863561	95.23017193566278	31.0	38.70967741935484	39.78494623655914	0.3	20.0	0.37499999999999994	0.5	0.3	6.0	6.0	14.0	39.0	0.4	0.5	0.3333333333333333	13.0	13.0	26.0
positive	employer	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9875647668393782	[[5684, 29], [43, 34]]	0.48571428571428565	612.0	90.84967320261438	91.56681190994917	69.0	50.72463768115942	57.085346215780994	0.9	37.0	0.45901639344262296	0.5833333333333334	0.3783783783783784	14.0	10.0	23.0	77.0	0.4496124031007752	0.5576923076923077	0.37662337662337664	29.0	23.0	48.0
positive	gender_male	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.984628670120898	[[5611, 53], [36, 90]]	0.6691449814126395	618.0	88.02588996763754	89.52149791955618	128.0	71.09375	78.31473214285715	0.2	62.0	0.64	0.5454545454545454	0.7741935483870968	48.0	40.0	14.0	126.0	0.631578947368421	0.5660377358490566	0.7142857142857143	90.0	69.0	36.0
positive	gender_female	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9953367875647668	[[5731, 13], [14, 32]]	0.7032967032967032	605.0	96.69421487603306	96.99527744982291	44.0	72.72727272727273	76.86688311688312	0.8	31.0	0.6440677966101694	0.6785714285714286	0.6129032258064516	19.0	9.0	12.0	46.0	0.711111111111111	0.7272727272727273	0.6956521739130435	32.0	12.0	14.0
positive	name	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9618307426597582	[[5211, 108], [113, 358]]	0.7641408751334045	675.0	75.70370370370371	79.90554219443108	487.0	73.71663244353182	79.54053589577204	0.2	281.0	0.7457044673539519	0.7209302325581395	0.7722419928825622	217.0	84.0	64.0	471.0	0.7616033755274262	0.7568134171907757	0.7664543524416136	361.0	116.0	110.0
positive	recent_travel	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9944732297063903	[[5747, 9], [23, 11]]	0.4074074074074075	601.0	95.84026622296173	95.98816786836754	28.0	39.285714285714285	42.46031746031746	0.1	31.0	0.36666666666666664	0.3793103448275862	0.3548387096774194	11.0	18.0	20.0	34.0	0.4477611940298507	0.45454545454545453	0.4411764705882353	15.0	18.0	19.0
positive	relation	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9977547495682211	[[5770, 8], [5, 7]]	0.5185185185185186	601.0	98.33610648918469	98.33610648918469	9.0	77.77777777777777	77.77777777777777	0.9	2.0	0.5	0.5	0.5	1.0	1.0	1.0	12.0	0.5	0.5	0.5	6.0	6.0	6.0
positive	when	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9960276338514681	[[5760, 17], [6, 7]]	0.3783783783783784	602.0	96.17940199335548	96.17940199335548	13.0	53.84615384615385	53.84615384615385	0.5	11.0	0.42857142857142855	0.35294117647058826	0.5454545454545454	6.0	11.0	5.0	13.0	0.3783783783783784	0.2916666666666667	0.5384615384615384	7.0	17.0	6.0
positive	where	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9775474956822107	[[5559, 81], [49, 101]]	0.608433734939759	636.0	82.86163522012579	83.88714185883998	155.0	65.80645161290323	70.01433691756273	0.9	91.0	0.553191489361702	0.5360824742268041	0.5714285714285714	52.0	45.0	39.0	150.0	0.6129032258064516	0.59375	0.6333333333333333	95.0	65.0	55.0
negative	age	(7195, {'age': 8, 'close_contact': 21, 'gender_male': 120, 'gender_female': 47, 'how_long': 12, 'name': 332, 'relation': 56, 'when': 13, 'where': 68}, {'age': 7187, 'close_contact': 7174, 'gender_male': 7075, 'gender_female': 7148, 'how_long': 7183, 'name': 6863, 'relation': 7139, 'when': 7182, 'where': 7127})	(1916, {'age': 0, 'close_contact': 1, 'gender_male': 16, 'gender_female': 20, 'how_long': 6, 'name': 93, 'relation': 18, 'when': 4, 'where': 27}, {'age': 1916, 'close_contact': 1915, 'gender_male': 1900, 'gender_female': 1896, 'how_long': 1910, 'name': 1823, 'relation': 1898, 'when': 1912, 'where': 1889})	(3222, {'age': 3, 'close_contact': 3, 'gender_male': 48, 'gender_female': 20, 'how_long': 3, 'name': 140, 'relation': 25, 'when': 7, 'where': 22}, {'age': 3219, 'close_contact': 3219, 'gender_male': 3174, 'gender_female': 3202, 'how_long': 3219, 'name': 3082, 'relation': 3197, 'when': 3215, 'where': 3200})	MultiTaskBertForCovidEntityClassification	0.9990689013035382	[[3219, 0], [3, 0]]	0.0	287.0	98.95470383275261	98.95470383275261	3.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0
negative	close_contact	(7195, {'age': 8, 'close_contact': 21, 'gender_male': 120, 'gender_female': 47, 'how_long': 12, 'name': 332, 'relation': 56, 'when': 13, 'where': 68}, {'age': 7187, 'close_contact': 7174, 'gender_male': 7075, 'gender_female': 7148, 'how_long': 7183, 'name': 6863, 'relation': 7139, 'when': 7182, 'where': 7127})	(1916, {'age': 0, 'close_contact': 1, 'gender_male': 16, 'gender_female': 20, 'how_long': 6, 'name': 93, 'relation': 18, 'when': 4, 'where': 27}, {'age': 1916, 'close_contact': 1915, 'gender_male': 1900, 'gender_female': 1896, 'how_long': 1910, 'name': 1823, 'relation': 1898, 'when': 1912, 'where': 1889})	(3222, {'age': 3, 'close_contact': 3, 'gender_male': 48, 'gender_female': 20, 'how_long': 3, 'name': 140, 'relation': 25, 'when': 7, 'where': 22}, {'age': 3219, 'close_contact': 3219, 'gender_male': 3174, 'gender_female': 3202, 'how_long': 3219, 'name': 3082, 'relation': 3197, 'when': 3215, 'where': 3200})	MultiTaskBertForCovidEntityClassification	0.9975170701427685	[[3214, 5], [3, 0]]	0.0	287.0	97.5609756097561	97.5609756097561	3.0	0.0	0.0	0.5	1.0	0.0	0.0	0.0	0.0	6.0	1.0	3.0	0.0	0.0	0.0	0.0	5.0	3.0
negative	gender_male	(7195, {'age': 8, 'close_contact': 21, 'gender_male': 120, 'gender_female': 47, 'how_long': 12, 'name': 332, 'relation': 56, 'when': 13, 'where': 68}, {'age': 7187, 'close_contact': 7174, 'gender_male': 7075, 'gender_female': 7148, 'how_long': 7183, 'name': 6863, 'relation': 7139, 'when': 7182, 'where': 7127})	(1916, {'age': 0, 'close_contact': 1, 'gender_male': 16, 'gender_female': 20, 'how_long': 6, 'name': 93, 'relation': 18, 'when': 4, 'where': 27}, {'age': 1916, 'close_contact': 1915, 'gender_male': 1900, 'gender_female': 1896, 'how_long': 1910, 'name': 1823, 'relation': 1898, 'when': 1912, 'where': 1889})	(3222, {'age': 3, 'close_contact': 3, 'gender_male': 48, 'gender_female': 20, 'how_long': 3, 'name': 140, 'relation': 25, 'when': 7, 'where': 22}, {'age': 3219, 'close_contact': 3219, 'gender_male': 3174, 'gender_female': 3202, 'how_long': 3219, 'name': 3082, 'relation': 3197, 'when': 3215, 'where': 3200})	MultiTaskBertForCovidEntityClassification	0.9882060831781502	[[3157, 17], [21, 27]]	0.5869565217391304	289.0	89.96539792387543	90.39600153787005	41.0	65.85365853658537	68.88888888888889	0.5	16.0	0.6666666666666667	0.6470588235294118	0.6875	11.0	6.0	5.0	48.0	0.5869565217391304	0.6136363636363636	0.5625	27.0	17.0	21.0
